source_region,country,service_name,provider_name,provider_color,care_type,residential_places,address,state,suburb,postcode,organisation_type,remoteness,acpr,lga,county,metro_area,source_dataset,source_status,cms_certification_number,legal_business_name,chain_name,overall_rating,average_residents_per_day,latitude,longitude,funding_2024_25
Australia,Australia,Merton Court Hostel,Merton Living Limited,#2cc125,Residential,17,"91 Virginia Street, DENMAN, NSW, 2328",NSW,DENMAN,2328,Community Based,Inner Regional Australia,Hunter,Muswellbrook,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-32.389667,150.684524,2735539.09
Australia,Australia,Maybanke Aged Care Plus Centre,The Salvation Army (NSW) Property Trust,#c12538,Residential,38,"80 Wardell Road, DULWICH HILL, NSW, 2203",NSW,DULWICH HILL,2203,Charitable,Major Cities of Australia,Inner West,Inner West,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.908484,151.14372,4769909.8
Australia,Australia,BaptistCare Cooinda Court,BaptistCare NSW & ACT,#af25c1,Residential,68,"159 Balaclava Road, MACQUARIE PARK, NSW, 2113",NSW,MACQUARIE PARK,2113,Charitable,Major Cities of Australia,Northern Sydney,Ryde,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.777251,151.110489999999,7729013.1
Australia,Australia,Catholic Healthcare Jemalong Residential Village,Catholic Healthcare Limited,#31a4d8,Residential,130,"240 Edward Street, FORBES, NSW, 2871",NSW,FORBES,2871,Charitable,Outer Regional Australia,Central West,Forbes,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.358722,147.990465999999,11453837.49
Australia,Australia,Alexander Campbell House,The Churches of Christ Property Trust,#2525c1,Residential,36,"51 Cook Street, FORESTVILLE, NSW, 2087",NSW,FORESTVILLE,2087,Religious,Major Cities of Australia,Northern Sydney,Northern Beaches,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.763896,151.218942999999,4045444.15
Australia,Australia,Harden Grange,Apollo Care Operations Pty Ltd,#dea34f,Residential,45,"78 Swift Street, HARDEN, NSW, 2587",NSW,HARDEN,2587,Private Incorporated Body,Inner Regional Australia,Southern Highlands,Hilltops,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-34.555306,148.358555999999,4814546.21
Australia,Australia,Uniting Caroona Jarman Goonellabah,The Uniting Church in Australia Property Trust (NSW),#d88d31,Residential,80,"65-101 Rous Road, GOONELLABAH, NSW, 2480",NSW,GOONELLABAH,2480,Religious,Inner Regional Australia,Far North Coast,Lismore,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-28.82564,153.320303999999,9823170.23
Australia,Australia,Hunters Hill Village,Twilight House,#4fde6f,Residential,36,"8 D'aram Street, HUNTERS HILL, NSW, 2110",NSW,HUNTERS HILL,2110,Community Based,Major Cities of Australia,Northern Sydney,Hunters Hill,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.8336869999999,151.152381999999,4133800.87
Australia,Australia,Gill Waminda Aged Care Plus Centre,The Salvation Army (NSW) Property Trust,#c12538,Residential,103,"4 Mary Street, GOULBURN, NSW, 2580",NSW,GOULBURN,2580,Charitable,Inner Regional Australia,Southern Highlands,Goulburn Mulwaree,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-34.762107,149.698250999999,12571495.85
Australia,Australia,Catholic Healthcare St Francis Aged Care,Catholic Healthcare Limited,#31a4d8,Residential,48,"226 Arthur Street, GRAFTON, NSW, 2460",NSW,GRAFTON,2460,Charitable,Inner Regional Australia,Far North Coast,Clarence Valley,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-29.6727549999999,152.937152999999,5627602.63
Australia,Australia,Southern Cross Care St Catherine's Residential Aged Care,Southern Cross Care (NSW & ACT) Limited,#d83156,Residential,83,"126 North Street, GRAFTON, NSW, 2460",NSW,GRAFTON,2460,Religious,Inner Regional Australia,Far North Coast,Clarence Valley,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-29.670888,152.941198,8683861.35
Australia,Australia,The Pioneers Lodge,The Pioneers Lodge Limited,#d8317d,Residential,98,"15-23 Sidlow Road, GRIFFITH, NSW, 2680",NSW,GRIFFITH,2680,Private Incorporated Body,Outer Regional Australia,Riverina/Murray,Griffith,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-34.29702,146.040568,10900453.89
